# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
43	2	False	1.6
0	1309.500	30.653	3.274828809431713e-05 -0.10085750464952403 106.5698158447888	10.31
1	1309.500	58.873	3.2845127919951746e-05 -0.1007527559374983 134.48586237641726	7.98
2	1309.500	87.442	3.2848699337562104e-05 -0.10044990687647544 162.6523803809331	6.85
3	1309.500	116.228	3.290750633080649e-05 -0.10027812063369458 191.1130610557838	6.25
4	1309.500	145.322	3.29489627953207e-05 -0.10005057064522585 219.83746953663342	5.76
5	1309.500	174.749	3.298015615951813e-05 -0.09982063633359071 248.90974714431877	5.46
6	1309.500	204.498	3.299175676502026e-05 -0.09948666491111494 278.20159117293895	5.10
7	1309.500	234.581	3.302432447962261e-05 -0.0992100204358349 307.866487633865	4.88
8	1309.500	264.994	3.308346368164187e-05 -0.09898912926917043 337.8887541655223	4.66
9	1309.500	295.795	3.3129321338087453e-05 -0.09871723528321405 368.2557102619015	4.50
10	1309.500	326.984	3.3171343425364946e-05 -0.09842825760640296 398.99406141527555	4.36
11	1309.500	358.572	3.321050296703833e-05 -0.09811486395278475 430.1045223036276	4.24
12	1309.500	390.561	3.325825938551294e-05 -0.09781496262592154 461.61892183751274	4.16
13	1309.500	422.968	3.329939347311554e-05 -0.09748078871935985 493.5179895118355	4.07
14	1309.500	455.792	3.3346632572096255e-05 -0.09715088788143997 525.8283647246152	4.00
15	1309.500	489.041	3.339258194855387e-05 -0.09680784999556137 558.5491638973431	3.96
16	1309.500	522.719	3.344025621692894e-05 -0.09644999339073546 591.6776446488403	3.94
17	1309.500	556.836	3.349051073622819e-05 -0.09609036101142976 625.2370087767782	3.92
18	1309.500	591.394	3.3549600598913864e-05 -0.09573958440966152 659.2342332910852	3.91
19	1309.500	626.397	3.361711951651034e-05 -0.09540429869591503 693.6827537151208	3.90
20	1309.500	661.845	3.368498060123266e-05 -0.09505879771275912 728.5619509915873	3.91
21	1309.500	697.741	3.37685350363773e-05 -0.0947451186031256 763.9034521543862	3.90
22	1309.500	734.098	3.382440794701219e-05 -0.09433378218414239 799.6260568917737	3.91
23	1309.500	770.891	3.393372782513048e-05 -0.09407702103594145 835.8957696577716	3.90
24	1309.500	808.142	3.4017235697847324e-05 -0.0937254057921176 872.5429763313641	3.90
25	1309.500	845.853	3.4085406544787394e-05 -0.09331590550629576 909.6005018863689	3.89
26	1309.500	883.994	3.4192925256919815e-05 -0.09302010952548681 947.1696926477473	3.88
27	1309.500	922.580	3.430476551877108e-05 -0.09271875963585018 985.1701059302801	3.88
28	1309.500	961.618	3.440405134157236e-05 -0.09237142608658554 1023.5830881805431	3.88
29	1309.500	1001.102	3.448422063405629e-05 -0.09195034340457979 1062.377353983538	3.89
30	1309.500	1041.011	3.4587081657752736e-05 -0.0915889062074041 1101.6369648401976	3.92
31	1309.500	1081.331	3.4756027564937485e-05 -0.0914250833148278 1141.4528659151108	3.97
32	1309.500	1122.097	3.4844818439749296e-05 -0.09099555050991298 1181.5044721050997	4.03
33	1309.500	1163.264	3.497123607733892e-05 -0.09065999946320974 1222.0145154954396	4.11
34	1309.500	1204.844	3.508164449469703e-05 -0.09028175534699974 1262.910430889402	4.21
35	1309.500	1246.797	3.523895082224999e-05 -0.0900258046664553 1304.2582350723335	4.31
36	1309.500	1289.133	3.539569500997563e-05 -0.08976639405718449 1345.9863900876933	4.44
37	1309.500	1331.857	3.548454484688038e-05 -0.08927978186404452 1387.920501982161	4.53
38	1309.500	1374.936	3.554076966423532e-05 -0.08869535928525053 1430.1380193095758	4.70
39	1309.500	1418.313	3.571766176712291e-05 -0.08851789201004832 1472.9793545236714	4.91
40	1309.500	1462.027	3.581456308098617e-05 -0.08805343198432845 1515.9180811429073	5.21
41	1309.500	1506.080	3.572100399652709e-05 -0.0870709691034004 1558.8458275877651	5.54
42	1309.500	1550.264	3.630779750668125e-05 -0.08759885367511552 1602.714827741357	5.80
