# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
33	2	False	1.6
0	510.500	42.896	7.548778629030803e-05 -0.16505251626663192 107.48234456584721	3.60
1	510.500	59.548	7.60486678421649e-05 -0.1652153909585902 124.07092790258325	3.57
2	510.500	76.564	7.656751131621491e-05 -0.16528101439833404 140.9854082477922	3.59
3	510.500	94.002	7.702646264070312e-05 -0.16525254962785754 158.28908192273272	3.59
4	510.500	111.900	7.761812976135677e-05 -0.1653066032809398 176.06094701057097	3.61
5	510.500	130.303	7.816995423273194e-05 -0.16528155568541433 194.30731222716892	3.66
6	510.500	149.239	7.873253060875941e-05 -0.16521024733942513 213.06062666503863	3.69
7	510.500	168.745	7.933246471880797e-05 -0.1651399137569844 232.37410742222332	3.73
8	510.500	188.860	7.991773244505484e-05 -0.16500885937442727 252.26921365224854	3.76
9	510.500	209.601	8.057381259986677e-05 -0.16490400828038176 272.78640410719123	3.80
10	510.500	231.012	8.121254305587777e-05 -0.16472712889698204 293.9407094848461	3.84
11	510.500	253.116	8.193860621063037e-05 -0.16459782309445534 315.78939288668175	3.89
12	510.500	275.946	8.269243824724218e-05 -0.16443848846940284 338.3411679395453	3.92
13	510.500	299.539	8.342067349208583e-05 -0.16420586303609344 361.6260626100531	3.94
14	510.500	323.924	8.4226439555145e-05 -0.163994736115812 385.6934268185602	3.98
15	510.500	349.137	8.504990097266056e-05 -0.16374880441038875 410.56558299018457	3.98
16	510.500	375.215	8.58989629383807e-05 -0.1634645793586652 436.2776216953348	3.99
17	510.500	402.194	8.68344875917554e-05 -0.16320471694557298 462.88022707419674	3.99
18	510.500	430.119	8.773559683088102e-05 -0.16285169418527648 490.38953419032765	4.02
19	510.500	459.023	8.871166824438639e-05 -0.16251637882566167 518.8679857082683	4.03
20	510.500	488.953	8.972802524164354e-05 -0.16216112108703487 548.3517794527484	4.01
21	510.500	519.962	9.078834831707024e-05 -0.16176277779951118 578.8812050092869	4.00
22	510.500	552.097	9.191593415331566e-05 -0.16135558890650797 610.5144590134616	3.99
23	510.500	585.419	9.305428348762909e-05 -0.1608775521983778 643.2964629109886	3.96
24	510.500	619.978	9.429904181081738e-05 -0.160408992043117 677.2914150551225	3.93
25	510.500	655.840	9.557035708952968e-05 -0.1598751124455356 712.5499708171029	3.88
26	510.500	693.077	9.691971481478928e-05 -0.15931086113529194 749.1472400780942	3.84
27	510.500	731.766	9.835882771154154e-05 -0.15869824191496976 787.1481959281422	3.81
28	510.500	771.994	9.986464235360036e-05 -0.15804349137634816 826.6499265531291	3.77
29	510.500	813.861	0.000101345564853089 -0.15720498780040223 867.7023758536607	3.74
30	510.500	857.451	0.00010300135288901941 -0.15636795967860792 910.4332903771788	3.74
31	510.500	902.894	0.0001047326348085243 -0.1553961354884904 954.9295403566459	3.73
32	510.500	950.308	0.00010642713318030676 -0.15428667542488686 1001.3351976304455	3.73
