# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
40	2	False	1.6
0	1202.500	29.123	3.269644674733614e-05 -0.11525210596180001 120.43480645345404	6.99
1	1202.500	57.670	3.2755483239667676e-05 -0.11512701127192468 148.7454820953615	6.37
2	1202.500	86.448	3.280883772914721e-05 -0.11498545995604718 177.27608677720988	5.92
3	1202.500	115.554	3.283733547765157e-05 -0.11478097979004324 206.09550816343645	5.45
4	1202.500	144.996	3.28593430828307e-05 -0.11453233284685534 235.20600110738658	5.03
5	1202.500	174.759	3.2888568620293647e-05 -0.1143003727726463 264.6482917581368	4.69
6	1202.500	204.833	3.2949946084452485e-05 -0.11413415889666692 294.43312607010625	4.43
7	1202.500	235.279	3.300150964985084e-05 -0.11393103228937591 324.56097118541624	4.21
8	1202.500	266.102	3.305324271777669e-05 -0.11372190136253672 355.0572640238025	4.05
9	1202.500	297.317	3.3105801181417205e-05 -0.11349855460570438 385.9280817354713	3.93
10	1202.500	328.936	3.3151571536994796e-05 -0.11324802627201136 417.17946330916686	3.85
11	1202.500	360.954	3.320371618422189e-05 -0.1130010966200004 448.82547018779655	3.80
12	1202.500	393.387	3.3253072714297326e-05 -0.11273200526254913 480.8629535671869	3.77
13	1202.500	426.242	3.330436012190192e-05 -0.11245646305148005 513.3130597968395	3.76
14	1202.500	459.527	3.335063515775246e-05 -0.11215637518692351 546.1698267304398	3.77
15	1202.500	493.241	3.3403073227093163e-05 -0.1118617076427554 579.4538186893087	3.80
16	1202.500	527.393	3.345027021014329e-05 -0.11153895324148486 613.1497226872076	3.84
17	1202.500	561.985	3.349973368161159e-05 -0.11120534216331653 647.2685652405333	3.89
18	1202.500	597.022	3.354773686576476e-05 -0.11085538805321811 681.8157883686972	3.93
19	1202.500	632.504	3.360047661128766e-05 -0.1105079385860946 716.8034089378618	4.01
20	1202.500	668.431	3.3651837415448244e-05 -0.11014614888620071 752.2212619718766	4.06
21	1202.500	704.810	3.3699865437415454e-05 -0.10976324633937593 788.0704336987069	4.12
22	1202.500	741.631	3.374738557221331e-05 -0.10936483799213292 824.3437158130668	4.17
23	1202.500	778.903	3.3810431670484585e-05 -0.10899643145467332 861.081264557763	4.22
24	1202.500	816.629	3.385747501636378e-05 -0.10857379819300879 898.2311145917565	4.25
25	1202.500	854.794	3.3924809671294565e-05 -0.108203761001391 935.8534834096315	4.25
26	1202.500	893.406	3.395839312159697e-05 -0.10772658907874622 973.8433855604417	4.24
27	1202.500	932.445	3.4038766165611486e-05 -0.10736605602545374 1012.3324836676164	4.23
28	1202.500	971.926	3.411024338671678e-05 -0.10697769646868557 1051.2431001915252	4.16
29	1202.500	1011.852	3.412041132271497e-05 -0.10639470952095643 1090.4530410587477	4.13
30	1202.500	1052.149	3.431614638544267e-05 -0.10635627259259389 1130.421432184795	4.06
31	1202.500	1092.925	3.4275047190543505e-05 -0.10561277272476187 1170.3625445958294	3.99
32	1202.500	1134.081	3.433164128857198e-05 -0.10513527909027992 1210.8622269126085	3.94
33	1202.500	1175.528	3.4771835288402515e-05 -0.10576524740623156 1252.4302805726331	3.86
34	1202.500	1217.463	3.485807957719755e-05 -0.10539645198516943 1293.7973404010093	3.80
35	1202.500	1259.834	3.471882564761766e-05 -0.10431676823594593 1335.0712766216895	3.79
36	1202.500	1302.363	3.5237515800571764e-05 -0.10516687462239058 1377.8727688860436	3.78
37	1202.500	1345.336	3.5428836362110794e-05 -0.1050700149642429 1420.4527886414314	3.80
38	1202.500	1388.643	3.5578946338077736e-05 -0.10493832175922581 1463.3843970094563	3.86
39	1202.500	1432.154	3.6188417296932936e-05 -0.10557936449550082 1506.7848923473493	3.93
