# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
50	2	False	1.1
0	509.500	33.140	9.816090925542179e-05 -0.1178117989807708 67.68379670999794	2.7
1	509.500	38.436	9.668111793475526e-05 -0.1146099313829563 71.73256886344456	2.67
2	509.500	44.074	9.637149918191953e-05 -0.11397940560238312 77.12977916299694	2.55
3	509.500	49.741	9.675210775099984e-05 -0.11424758229114503 82.83449496811694	2.65
4	509.500	55.434	9.703609431188176e-05 -0.11434566813593224 88.50326239687078	2.57
5	509.500	61.179	9.754736050753004e-05 -0.11479185620282174 94.34306794455762	2.53
6	509.500	67.000	9.80526807814884e-05 -0.11525851133467122 100.27099264405994	2.54
7	509.500	72.880	9.843138161503945e-05 -0.11543600629072075 106.14308182941063	2.51
8	509.500	78.821	9.875014782318692e-05 -0.11551401664088326 112.04035722538673	2.55
9	509.500	84.847	9.930802066478417e-05 -0.11590753063259078 118.1223858206305	2.6
10	509.500	91.028	9.950238874926148e-05 -0.11587210314230555 124.23460473477489	2.62
11	509.500	97.318	9.966580600623092e-05 -0.11581691201087566 130.45402748739727	2.66
12	509.500	103.666	0.00010007034829811982 -0.1160301259216389 136.80584744028874	2.73
13	509.500	110.110	0.00010044562091635428 -0.1161627000965775 143.22020576837005	2.74
14	509.500	116.676	0.00010080356881058872 -0.11626740795425552 149.74616932502033	2.75
15	509.500	123.365	0.00010120952364688211 -0.11644592512486152 156.4216453340771	2.79
16	509.500	130.163	0.00010156581634629457 -0.11652171161888863 163.16574968538836	2.81
17	509.500	137.094	0.0001019412485004997 -0.11662302668785841 170.05030156235037	2.85
18	509.500	144.147	0.00010231011268680668 -0.11670429885752724 177.04933603147086	2.87
19	509.500	151.328	0.0001027620081056542 -0.11687610793124785 184.20049967015706	2.9
20	509.500	158.657	0.00010316723748762993 -0.11698980544552394 191.48201145139768	2.92
21	509.500	166.139	0.00010346968887449324 -0.11696510187690255 198.87276955479612	2.97
22	509.500	173.744	0.00010397714555701365 -0.11719546288161986 206.46334578189658	2.99
23	509.500	181.500	0.00010441094553134082 -0.11730900066471077 214.16478344707963	3.02
24	509.500	189.405	0.00010481321970900515 -0.11735711779260789 221.99021279259136	3.03
25	509.500	197.464	0.00010525763731099595 -0.11744251838322854 229.97666859095827	3.04
26	509.500	205.676	0.00010575152212200054 -0.11759308610585292 238.1378883256787	3.04
27	509.500	214.047	0.00010623475365926672 -0.11769573520613794 246.43588126277498	3.05
28	509.500	222.584	0.00010669381603332219 -0.11775474647832 254.8831216200575	3.04
29	509.500	231.286	0.00010721309992619924 -0.11787505981761714 263.512277919068	3.05
30	509.500	240.160	0.00010773470028512285 -0.11797934425725956 272.30406946208075	3.05
31	509.500	249.210	0.00010823869771294333 -0.118039934305249 281.2535463408892	3.05
32	509.500	258.440	0.0001088219687718096 -0.11820311634854268 290.4151537620156	3.04
33	509.500	267.855	0.00010933316199796133 -0.11824058151346085 299.7166097057354	3.04
34	509.500	277.455	0.000109907063843351 -0.1183388143692198 309.2182366801564	3.04
35	509.500	287.245	0.00011050001104096246 -0.11844153783207292 318.9067226816418	3.03
36	509.500	297.235	0.00011111479276429512 -0.11857280150708731 328.8039743074962	3.03
37	509.500	307.427	0.00011169862448510637 -0.11860781752899222 338.8621592448238	3.03
38	509.500	317.822	0.00011238036624782595 -0.11876995140759665 349.162377133313	3.02
39	509.500	328.432	0.0001130227040907485 -0.118850697041982 359.64650076420486	3.02
40	509.500	339.254	0.00011367215534040858 -0.11891462794820526 370.33282312982834	3.01
41	509.500	350.302	0.00011434605187524308 -0.11898472856494649 381.24149753729534	3.01
42	509.500	361.570	0.00011509921863615041 -0.11914367241347674 392.3955471361436	3.01
43	509.500	373.074	0.00011584346994250954 -0.11925587451316921 403.76300456814306	3.0
44	509.500	384.821	0.00011655029680460859 -0.1192845898042893 415.3415486748215	2.99
45	509.500	396.807	0.00011738057536141238 -0.11944808536326779 427.19445226538477	2.98
46	509.500	409.042	0.00011811645415238751 -0.11947605161877728 439.25359768382094	2.96
47	509.500	421.526	0.0001189256566095938 -0.11953925096311245 451.5594250341179	2.95
48	509.500	434.309	0.00011961929756932569 -0.11949500529533212 464.1397938354154	2.94
49	509.500	447.355	0.00012062700378686519 -0.11976262652673988 477.06079520102264	2.97
