# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p-1) Cfwhm(0) Cfwhm(1) ... Cfwhm(p-1)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
61	2	False	1.1
0	510.00	4.258	26.009497851506215 -0.09068958440520028 4.7098255963810316e-05	2.16
1	510.00	9.972	31.573616854799948 -0.09058496999969483 4.72834102507077e-05	2.29
2	510.00	16.236	38.95519545493633 -0.09341251076286494 4.7906702718124194e-05	2.07
3	510.00	21.781	43.2210987881003 -0.09028510066225139 4.729896506929843e-05	2.20
4	510.00	27.973	49.071134987856546 -0.0889709140291104 4.666922801343295e-05	2.13
5	510.00	33.700	55.081103961954625 -0.0904567111224374 4.7580788410826325e-05	2.16
6	510.00	39.768	61.16924164017554 -0.09067087945273132 4.775177143922001e-05	2.19
7	510.00	45.901	67.19550904273441 -0.09051806448073423 4.7808523035207295e-05	2.22
8	510.00	52.096	73.34928280314689 -0.09063527227158352 4.8001842720757296e-05	2.25
9	510.00	58.384	79.60610253691742 -0.09074865847949655 4.8173305615692544e-05	2.34
10	510.00	64.770	85.95721075403954 -0.0908495153529868 4.833932178471835e-05	2.39
11	510.00	71.305	92.38327366843474 -0.0906692738351828 4.8371699158012336e-05	2.36
12	510.00	77.849	98.9247435839312 -0.09097944764759089 4.868015416269209e-05	2.50
13	510.00	84.552	105.55990964221513 -0.09100541474448325 4.883718237453501e-05	2.52
14	510.00	91.368	112.31568064579959 -0.09108993585980085 4.9035168906581905e-05	2.55
15	510.00	98.306	119.1793995495561 -0.09111843842976672 4.920525853668842e-05	2.62
16	510.00	105.364	126.15893868870779 -0.09114341752957207 4.9381913336522556e-05	2.63
17	510.00	112.555	133.26897006311864 -0.09117230375396898 4.956552263330572e-05	2.66
18	510.00	119.874	140.50218177464185 -0.09119431381150747 4.9752815168116636e-05	2.68
19	510.00	127.334	147.88889789746509 -0.09125710673148364 4.995362755473262e-05	2.70
20	510.00	134.945	155.40819161869263 -0.0912460481062281 5.011962238830105e-05	2.73
21	510.00	142.699	163.06099684450348 -0.09121114574487009 5.028069544751427e-05	2.75
22	510.00	150.591	170.86233958728414 -0.09124247135766941 5.0484900482778126e-05	2.75
23	510.00	158.633	178.8111601882096 -0.09128128100957535 5.0702191478558104e-05	2.76
24	510.00	166.832	186.89093245192973 -0.09123568671581837 5.0887636499108386e-05	2.77
25	510.00	175.183	195.1384336334492 -0.09126925943487406 5.111869026569236e-05	2.76
26	510.00	183.698	203.55315026059657 -0.09132036142412052 5.136188114423872e-05	2.75
27	510.00	192.380	212.12049797769987 -0.09133212248743523 5.1593010568353645e-05	2.74
28	510.00	201.236	220.83235495076727 -0.09125931944704604 5.179837761035167e-05	2.74
29	510.00	210.259	229.74574642675378 -0.09131437753691403 5.206377723854261e-05	2.74
30	510.00	219.467	238.80598020886896 -0.09125350429931053 5.2287582082770245e-05	2.73
31	510.00	228.849	248.06851350194293 -0.09129623740237727 5.2560754903064706e-05	2.72
32	510.00	238.425	257.49468199331034 -0.0912591161164146 5.281070935759838e-05	2.73
33	510.00	248.186	267.1143605633996 -0.09125723272415644 5.308170916069784e-05	2.71
34	510.00	258.146	276.9044288173325 -0.0911781903694914 5.332965372137433e-05	2.72
35	510.00	268.301	286.90374072827103 -0.09116458030425709 5.3615834771118e-05	2.71
36	510.00	278.662	297.10988336189763 -0.09115764002062292 5.390742964485154e-05	2.70
37	510.00	289.234	307.5066883562111 -0.09110412864239724 5.4191000739062915e-05	2.69
38	510.00	300.016	318.11516787637476 -0.09107350922380537 5.449515024181658e-05	2.70
39	510.00	311.020	328.9207952863366 -0.09098073140977257 5.478583046146549e-05	2.70
40	510.00	322.249	339.95565714489817 -0.09091173646083978 5.509072403395913e-05	2.69
41	510.00	333.705	351.2296412261694 -0.09090991954183553 5.543844987975567e-05	2.69
42	510.00	345.398	362.7018513332942 -0.09079507004623703 5.575050937363935e-05	2.69
43	510.00	357.333	374.43298566470366 -0.09075900096714663 5.610794468039164e-05	2.69
44	510.00	369.518	386.3946524318815 -0.09067469962589807 5.6454976207193e-05	2.70
45	510.00	381.961	398.59102910570016 -0.09055241998961855 5.680911665129565e-05	2.70
46	510.00	394.658	411.0739729737748 -0.09063122482502017 5.7297229283420304e-05	2.71
47	510.00	407.632	423.77712113644793 -0.0903713874204029 5.7563632320686565e-05	2.71
48	510.00	420.806	436.7432292225778 -0.09005917106102737 5.765672963937576e-05	2.67
49	510.00	434.383	449.8721396167417 -0.08974559233811295 5.821002860820691e-05	2.74
50	510.00	448.216	463.5665572130837 -0.08997248700388655 5.869981506949993e-05	2.71
51	510.00	462.324	477.4067203211135 -0.08983531382519457 5.9079892007083806e-05	2.70
52	510.00	476.711	491.6262080243098 -0.09034047241716232 5.989711285138214e-05	2.71
53	510.00	491.591	505.9922478222903 -0.0894634294057419 6.002489607201119e-05	2.78
54	510.00	506.645	520.8109980460563 -0.08961080968122007 6.062168919036385e-05	2.80
55	510.00	522.069	535.9201807039011 -0.08956095825840629 6.117927799394493e-05	2.81
56	510.00	537.866	551.3866630631453 -0.08948071318827636 6.173469849432736e-05	2.82
57	510.00	554.037	567.1632074521341 -0.08922518393897555 6.224231739704027e-05	2.85
58	510.00	570.604	583.3045382242343 -0.08880874922353008 6.265271467911725e-05	2.88
59	510.00	587.549	599.8598526697178 -0.08845121669072936 6.30518463228989e-05	2.89
60	510.00	604.905	616.8073007389459 -0.08818911292032777 6.357928418496847e-05	2.96
