# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
61	2	False	1.1
0	510.000	4.308	9.439912251665355e-05 -0.09100853578095364 26.16959637081209	3.05
1	510.000	10.028	9.475452532155815e-05 -0.09091587660210358 31.749024761182678	2.66
2	510.000	15.974	9.435114380116865e-05 -0.09034935499432234 37.511836357188265	2.48
3	510.000	21.825	9.452994996482259e-05 -0.09022951131166922 43.254663812214204	2.78
4	510.000	27.748	9.478838061050496e-05 -0.09025487241967609 49.12400189135554	2.49
5	510.000	33.711	9.525762317647387e-05 -0.0905215142187862 55.100590636171	2.57
6	510.000	39.771	9.558658716483653e-05 -0.09068844650000187 61.15991300674576	2.59
7	510.000	45.900	9.567444862236334e-05 -0.09047407181134147 67.15721106988184	2.55
8	510.000	52.095	9.59756059477145e-05 -0.09050592368433925 73.28972562177178	2.59
9	510.000	58.384	9.641374673336458e-05 -0.0907323836986179 79.57986541107651	2.60
10	510.000	64.780	9.667326333899956e-05 -0.09075073698703329 85.91829513921182	2.60
11	510.000	71.258	9.707440390393406e-05 -0.09089918807886416 92.36711195295005	2.55
12	510.000	77.857	9.733894530101505e-05 -0.09086951473497067 98.88277362763095	2.64
13	510.000	84.554	9.770160040774577e-05 -0.09093655327226502 105.51991115693106	2.66
14	510.000	91.373	9.806284084337545e-05 -0.0909912986276787 112.27208681268263	2.69
15	510.000	98.307	9.845080896170416e-05 -0.09106571562384265 119.1432252763122	2.69
16	510.000	105.369	9.881561077291968e-05 -0.09111299826732516 126.13433693883434	2.70
17	510.000	112.555	9.919709763731594e-05 -0.09114515549105404 133.23777941989306	2.73
18	510.000	119.884	9.947653544107434e-05 -0.09107591115668262 140.4592201485852	2.72
19	510.000	127.333	9.9923663841868e-05 -0.09118447389611899 147.84737654575687	2.75
20	510.000	134.954	0.00010022013746545736 -0.09113021733788106 155.363285187146	2.73
21	510.000	142.699	0.00010061451355039073 -0.09117436438834314 163.0282335940231	2.75
22	510.000	150.593	0.00010102532679532118 -0.09120884511572612 170.83276346705313	2.77
23	510.000	158.633	0.00010145414821525239 -0.09123603559459577 178.77529926869846	2.77
24	510.000	166.831	0.00010182454146740693 -0.09120018050365994 186.85854649008087	2.78
25	510.000	175.183	0.00010230482686563084 -0.09125058007512868 195.1116916216108	2.77
26	510.000	183.702	0.00010274356908314115 -0.09124022772715093 203.510830603986	2.77
27	510.000	192.387	0.00010317778126140322 -0.09122425417545944 212.07497805728474	2.77
28	510.000	201.237	0.00010365681301248227 -0.09123622443373175 220.80639521217702	2.77
29	510.000	210.264	0.00010415735163041601 -0.09124931833468428 229.70945957310664	2.76
30	510.000	219.469	0.00010466156912281233 -0.09124861870047919 238.78318067932886	2.77
31	510.000	228.859	0.000105113441880849 -0.09118601810733606 248.02359928938316	2.76
32	510.000	238.431	0.00010562563684186671 -0.09116716018694142 257.45259943771896	2.75
33	510.000	248.195	0.00010614027841865115 -0.09113010296777423 267.0641902086038	2.75
34	510.000	258.152	0.00010668597499097545 -0.09110823832024287 276.86801473984656	2.74
35	510.000	268.309	0.00010726980373956349 -0.09110750116677825 286.8731616234958	2.73
36	510.000	278.670	0.00010782927052702563 -0.09105986263177619 297.0640503830552	2.72
37	510.000	289.242	0.00010840277371928546 -0.09101108382694381 307.46244190547117	2.72
38	510.000	300.025	0.00010900472636672645 -0.09097416960530302 318.0700807649576	2.72
39	510.000	311.029	0.00010959733536138879 -0.09091026302332421 328.886475684378	2.71
40	510.000	322.257	0.0001102424694016307 -0.09086459174511546 339.9243112407197	2.71
41	510.000	333.714	0.00011085781629162814 -0.09078377575834011 351.1800941462341	2.70
42	510.000	345.408	0.00011151989203128764 -0.09071599839675684 362.66729586484274	2.70
43	510.000	357.341	0.0001122623959008199 -0.09069363162812266 374.3957632480935	2.70
44	510.000	369.527	0.00011295460857387836 -0.09059387720041069 386.3505838996469	2.70
45	510.000	381.971	0.00011370741441745508 -0.09052191366331494 398.56185720021585	2.70
46	510.000	394.678	0.0001144623472167932 -0.09041768262894787 411.01910818901325	2.71
47	510.000	407.637	0.00011539634215955418 -0.09046170597766048 423.7583739146866	2.70
48	510.000	420.811	0.0001160895236470528 -0.09050631743540342 436.77396409462176	2.64
49	510.000	434.401	0.00011646747441627736 -0.08976703013893557 449.8886586507299	2.78
50	510.000	448.235	0.00011729685299053791 -0.08977837039590006 463.5129830314963	2.73
51	510.000	462.348	0.00011799050466073098 -0.0896006648525078 477.35464717430654	2.74
52	510.000	476.737	0.00012000107717001603 -0.09031273317534076 491.58449512192834	2.73
53	510.000	491.611	0.00011996725204790312 -0.08928271606885672 505.9418040870984	2.82
54	510.000	506.665	0.00012116304875013169 -0.08943911029455452 520.7643000068398	2.82
55	510.000	522.095	0.000122247923439265 -0.08934497694568558 535.8643085070487	2.85
56	510.000	537.890	0.00012334401033427874 -0.08925027935233243 551.3259074008021	2.90
57	510.000	554.056	0.00012447887926900716 -0.08910278946171545 567.1218963777853	2.90
58	510.000	570.603	0.00012594519057551032 -0.08916438805143057 583.3184453466931	2.98
59	510.000	587.558	0.00012717871900803525 -0.08904260091516257 599.8903959760377	2.96
60	510.000	604.955	0.0001279823723566296 -0.08847602153288703 616.7892871805527	2.98
